x(um),y(um),Vx(mm/s),Vy(mm/s),Circular variance,particle numbers
203.5925,-111.6475,63.1400644090909,85.9745454545454,0.206784404328267,11
203.5925,-124.7825,75.0809735,157.62,0.0519165175745558,6
203.5925,-137.9175,0,0,0,0
203.5925,-151.0525,0,0,0,0
203.5925,-164.1875,0,0,0,0
203.5925,-177.3225,0,0,0,0
203.5925,-190.4575,0,0,0,0
203.5925,-203.5925,0,0,0,0
203.5925,-216.7275,0,0,0,0
203.5925,-229.8625,0,0,0,0
203.5925,-242.9975,0,0,0,0
216.7275,19.7025,0,0,0,0
216.7275,6.5675,0,0,0,0
216.7275,-6.5675,0,0,0,0
216.7275,-19.7025,0,0,0,0
216.7275,-32.8375,0,0,0,0
216.7275,-45.9725,0,0,0,0
216.7275,-59.1075,56.6919735,110.334,0.211897370159496,10
216.7275,-72.2425,48.8109735,183.89,0.450658101037257,6
216.7275,-85.3775,29.1084735,98.5125,0.340425793617447,4
216.7275,-98.5125,19.2572235,128.06625,0.126911683891451,8
216.7275,-111.6475,-3.7290265,96.3233333333333,0.0956056488493883,9
216.7275,-124.7825,64.5729735,141.858,0.0372400290554784,5
216.7275,-137.9175,0,0,0,0
216.7275,-151.0525,0,0,0,0
216.7275,-164.1875,0,0,0,0
216.7275,-177.3225,0,0,0,0
216.7275,-190.4575,0,0,0,0
216.7275,-203.5925,0,0,0,0
216.7275,-216.7275,0,0,0,0
216.7275,-229.8625,0,0,0,0
216.7275,-242.9975,0,0,0,0
229.8625,19.7025,0,0,0,0
229.8625,6.5675,0,0,0,0
229.8625,-6.5675,0,0,0,0
229.8625,-19.7025,0,0,0,0
229.8625,-32.8375,0,0,0,0
229.8625,-45.9725,40.9299735,47.286,0.249279100137044,10
229.8625,-59.1075,44.6630787631579,74.6621052631579,0.121106663717962,19
229.8625,-72.2425,26.2938306428571,67.5514285714286,0.48466673133939,7
229.8625,-85.3775,0,0,0,0
229.8625,-98.5125,0,0,0,0
229.8625,-111.6475,13.7843068333333,61.2966666666667,0.2627288530025,9
229.8625,-124.7825,0,0,0,0
229.8625,-137.9175,0,0,0,0
229.8625,-151.0525,0,0,0,0
229.8625,-164.1875,0,0,0,0
229.8625,-177.3225,0,0,0,0
229.8625,-190.4575,0,0,0,0
229.8625,-203.5925,0,0,0,0
229.8625,-216.7275,0,0,0,0
229.8625,-229.8625,0,0,0,0
229.8625,-242.9975,0,0,0,0
242.9975,19.7025,0,0,0,0
242.9975,6.5675,0,0,0,0
242.9975,-6.5675,0,0,0,0
242.9975,-19.7025,0,0,0,0
242.9975,-32.8375,0,0,0,0
242.9975,-45.9725,0,0,0,0
242.9975,-59.1075,3.77668778571429,78.81,0.581690243978794,7
242.9975,-72.2425,0,0,0,0
242.9975,-85.3775,48.8109735,47.286,0.563131069707225,5
242.9975,-98.5125,0,0,0,0
242.9975,-111.6475,0,0,0,0
242.9975,-124.7825,0,0,0,0
242.9975,-137.9175,0,0,0,0
242.9975,-151.0525,0,0,0,0
242.9975,-164.1875,0,0,0,0
242.9975,-177.3225,0,0,0,0
